,apr,pairname,liquidity
0,52.24%,CAKE-BNB,"$1,082,710,727"
1,17.4%,BUSD-BNB,"$650,146,095"
2,807.04%,WMASS-BUSD,"$1,752,144"
3,560.78%,UBXT-BUSD,"$2,521,577"
4,639.82%,BTR-BUSD,"$4,420,185"
5,346.94%,ΤDOGE-BNB,"$4,075,822"
6,249.22%,PMON-BUSD,"$2,836,924"
7,240.01%,ONE-BUSD,"$5,891,534"
8,184.28%,FINE-BNB,"$7,673,311"
9,42.16%,DOGE-BNB,"$16,768,153"
10,212.55%,BMXX-BNB,"$6,652,808"
11,264.89%,OIN-BUSD,"$5,338,200"
12,274.46%,HYFI-BNB,"$5,152,078"
13,142.3%,KUN-BUSD,"$4,968,527"
14,338.13%,KUN-QSD,"$2,090,978"
15,131.81%,MATH-BUSD,"$10,728,325"
16,89.39%,MCOIN-UST,"$7,909,356"
17,103.93%,WIN-BNB,"$13,606,278"
18,40.62%,TRX-BNB,"$34,811,181"
19,71.37%,BTT-BNB,"$19,812,466"
20,217.86%,PNT-PBTC,"$6,490,655"
21,164.13%,XMARK-BUSD,"$8,615,199"
22,20.45%,BTCB-BUSD,"$69,143,085"
23,181.52%,LMT-BNB,"$7,790,162"
24,217.24%,DFD-BUSD,"$6,509,160"
25,35.38%,ALPACA-BUSD,"$39,967,629"
26,45.44%,ΤBTC-BTCB,"$31,122,118"
27,145.93%,SWINGBY-BNB,"$9,690,177"
28,201.8%,XED-BNB,"$7,007,377"
29,176.36%,HAKKA-BUSD,"$8,017,980"
30,220.25%,CGG-BNB,"$6,420,203"
31,196.45%,SUTER-BNB,"$7,197,924"
32,221.79%,BROOBEE-BNB,"$6,375,598"
33,199.91%,HZN-BNB,"$7,073,565"
34,229.2%,ALPA-BNB,"$6,169,623"
35,155.4%,PERL-BNB,"$9,099,230"
36,97.59%,TLM-BNB,"$7,244,704"
37,209.45%,JGN-BNB,"$6,751,223"
38,187.73%,EPS-BNB,"$7,532,435"
39,139.69%,ARPA-BNB,"$10,122,597"
40,216.83%,ITAM-BNB,"$6,521,465"
41,146.19%,BONDLY-BNB,"$9,673,017"
